#Rayon;Catégorie - Famille;"Durée brute de la tâche (en heure)";"Durée de la tâche arrondie  au quart d'heure supérieur le plus proche (en heure)";Priorité;Contrainte horaire sur des tâches de type « fin avant »;Commentaires;Nombre maximal de divisions de la tâche;
R10;GAZEIFIE - ;2,1;2,25;1;;;3;
R10;NON GAZEIFIE &SIROP - ;3;3;2;08:30;;1;
R10;BIERES ET PANACHES - ;1,2;1,25;1;08:30;;5;
R10;CIDRES - ;0,1;0,25;2;;;3;
R10;EAUX - ;3,2;3,25;4;08:30;;3;
R10;VINS DE TABLE ET DE PAYS - ;0,8;1;1;12:00;;3;
R10;VINS - ;1,5;1,5;2;12:00;;3;
R10;CHAMPAGNE - ;0;0;2;;;3;
R10;MOUSSEUX - ;0,1;0,25;3;;;3;
R10;ALCOOLS - ;0,5;0,5;1;12:00;;3;
